lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
02M3132015U.S. History and Government,02M313,"James Baldwin School, The: A School for Expedition",Transfer School,High school,U.S. History and Government,2015,4,s,s,s,s,s,s,s,na,na
02M3132016U.S. History and Government,02M313,"James Baldwin School, The: A School for Expedition",Transfer School,High school,U.S. History and Government,2016,5,s,s,s,s,s,s,s,na,na
02M3132017U.S. History and Government,02M313,"James Baldwin School, The: A School for Expedition",Transfer School,High school,U.S. History and Government,2017,3,s,s,s,s,s,s,s,na,na
02M3162015Algebra2/Trigonometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Algebra2/Trigonometry,2015,20,30.8,20,100.0,0,0.0,0,0.0,0,0.0
02M3162016Algebra2/Trigonometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Algebra2/Trigonometry,2016,12,33.3,12,100.0,0,0.0,0,0.0,0,0.0
02M3162015Common Core Algebra,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Algebra,2015,131,53.1,105,80.2,26,19.8,0,0.0,8,6.1
02M3162016Common Core Algebra,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Algebra,2016,166,60.8,95,57.2,71,42.8,8,4.8,45,27.1
02M3162017Common Core Algebra,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Algebra,2017,107,56.5,75,70.1,32,29.9,2,1.9,17,15.9
02M3162017Common Core Algebra2,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Algebra2,2017,9,43.9,9,100.0,0,0.0,0,0.0,0,0.0
02M3162015Common Core English,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core English,2015,38,62.1,17,44.7,21,55.3,4,10.5,11,28.9
02M3162016Common Core English,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core English,2016,58,74.0,7,12.1,51,87.9,20,34.5,33,56.9
02M3162017Common Core English,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core English,2017,58,76.1,7,12.1,51,87.9,28,48.3,36,62.1
02M3162015Common Core Geometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Geometry,2015,1,s,s,s,s,s,s,s,na,na
02M3162016Common Core Geometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Geometry,2016,50,44.7,48,96.0,2,4.0,0,0.0,0,0.0
02M3162017Common Core Geometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Common Core Geometry,2017,70,48.5,65,92.9,5,7.1,0,0.0,1,1.4
02M3162015English,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,English,2015,105,72.1,23,21.9,82,78.1,31,29.5,48,45.7
02M3162016English,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,English,2016,13,61.6,5,38.5,8,61.5,0,0.0,0,0.0
02M3162015Geometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Geometry,2015,90,58.7,54,60.0,36,40.0,4,4.4,4,4.4
02M3162016Geometry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Geometry,2016,8,54.3,7,87.5,1,12.5,0,0.0,0,0.0
02M3162015Global History and Geography,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Global History and Geography,2015,156,54.9,113,72.4,43,27.6,3,1.9,na,na
02M3162016Global History and Geography,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Global History and Geography,2016,154,57.3,106,68.8,48,31.2,10,6.5,na,na
02M3162017Global History and Geography,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Global History and Geography,2017,95,59.3,57,60.0,38,40.0,5,5.3,na,na
02M3162015Integrated Algebra,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Integrated Algebra,2015,48,59.4,34,70.8,14,29.2,1,2.1,1,2.1
02M3162016Integrated Algebra,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Integrated Algebra,2016,23,65.3,9,39.1,14,60.9,2,8.7,2,8.7
02M3162015Living Environment,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Living Environment,2015,115,63.0,58,50.4,57,49.6,9,7.8,na,na
02M3162016Living Environment,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Living Environment,2016,96,64.4,47,49.0,49,51.0,7,7.3,na,na
02M3162017Living Environment,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Living Environment,2017,72,64.7,33,45.8,39,54.2,6,8.3,na,na
02M3162015Physical Settings/Chemistry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Chemistry,2015,39,52.5,31,79.5,8,20.5,0,0.0,na,na
02M3162016Physical Settings/Chemistry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Chemistry,2016,18,50.6,17,94.4,1,5.6,0,0.0,na,na
02M3162017Physical Settings/Chemistry,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Chemistry,2017,9,46.4,9,100.0,0,0.0,0,0.0,na,na
02M3162015Physical Settings/Earth Science,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Earth Science,2015,82,52.0,61,74.4,21,25.6,4,4.9,na,na
02M3162016Physical Settings/Earth Science,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Earth Science,2016,75,53.6,57,76.0,18,24.0,7,9.3,na,na
02M3162017Physical Settings/Earth Science,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,Physical Settings/Earth Science,2017,82,49.0,64,78.0,18,22.0,3,3.7,na,na
02M3162015U.S. History and Government,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,U.S. History and Government,2015,107,68.5,37,34.6,70,65.4,24,22.4,na,na
02M3162016U.S. History and Government,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,U.S. History and Government,2016,73,67.1,24,32.9,49,67.1,12,16.4,na,na
02M3162017U.S. History and Government,02M316,"Urban Assembly School of Business for Young Women,",General Academic,High school,U.S. History and Government,2017,63,63.9,27,42.9,36,57.1,4,6.3,na,na
02M3472017Common Core Algebra,02M347,The 47 American Sign Language & English Lower Scho,General Academic,K-8,Common Core Algebra,2017,2,s,s,s,s,s,s,s,na,na
02M3472017Living Environment,02M347,The 47 American Sign Language & English Lower Scho,General Academic,K-8,Living Environment,2017,2,s,s,s,s,s,s,s,na,na
02M3742015Algebra2/Trigonometry,02M374,Gramercy Arts High School,General Academic,High school,Algebra2/Trigonometry,2015,47,46.2,44,93.6,3,6.4,0,0.0,0,0.0
02M3742016Algebra2/Trigonometry,02M374,Gramercy Arts High School,General Academic,High school,Algebra2/Trigonometry,2016,56,55.0,37,66.1,19,33.9,1,1.8,1,1.8
02M3742017Algebra2/Trigonometry,02M374,Gramercy Arts High School,General Academic,High school,Algebra2/Trigonometry,2017,10,51.1,9,90.0,1,10.0,1,10.0,1,10.0
02M3742015Common Core Algebra,02M374,Gramercy Arts High School,General Academic,High school,Common Core Algebra,2015,56,64.0,20,35.7,36,64.3,0,0.0,19,33.9
02M3742016Common Core Algebra,02M374,Gramercy Arts High School,General Academic,High school,Common Core Algebra,2016,139,67.3,52,37.4,87,62.6,21,15.1,63,45.3
02M3742017Common Core Algebra,02M374,Gramercy Arts High School,General Academic,High school,Common Core Algebra,2017,149,68.4,46,30.9,103,69.1,31,20.8,83,55.7
02M3742016Common Core Algebra2,02M374,Gramercy Arts High School,General Academic,High school,Common Core Algebra2,2016,54,54.9,42,77.8,12,22.2,0,0.0,12,22.2
02M3742017Common Core Algebra2,02M374,Gramercy Arts High School,General Academic,High school,Common Core Algebra2,2017,26,71.5,5,19.2,21,80.8,4,15.4,21,80.8
02M3742015Common Core English,02M374,Gramercy Arts High School,General Academic,High school,Common Core English,2015,1,s,s,s,s,s,s,s,na,na
02M3742016Common Core English,02M374,Gramercy Arts High School,General Academic,High school,Common Core English,2016,124,79.3,9,7.3,115,92.7,73,58.9,91,73.4
02M3742017Common Core English,02M374,Gramercy Arts High School,General Academic,High school,Common Core English,2017,130,74.6,20,15.4,110,84.6,61,46.9,75,57.7
02M3742015Common Core Geometry,02M374,Gramercy Arts High School,General Academic,High school,Common Core Geometry,2015,83,56.3,67,80.7,16,19.3,1,1.2,12,14.5
02M3742016Common Core Geometry,02M374,Gramercy Arts High School,General Academic,High school,Common Core Geometry,2016,87,57.4,62,71.3,25,28.7,2,2.3,13,14.9
02M3742017Common Core Geometry,02M374,Gramercy Arts High School,General Academic,High school,Common Core Geometry,2017,113,56.0,85,75.2,28,24.8,1,0.9,17,15.0
02M3742015English,02M374,Gramercy Arts High School,General Academic,High school,English,2015,125,72.8,23,18.4,102,81.6,37,29.6,65,52.0
02M3742016English,02M374,Gramercy Arts High School,General Academic,High school,English,2016,14,67.2,8,57.1,6,42.9,3,21.4,5,35.7
02M3742015Geometry,02M374,Gramercy Arts High School,General Academic,High school,Geometry,2015,143,62.6,77,53.8,66,46.2,8,5.6,8,5.6
02M3742016Geometry,02M374,Gramercy Arts High School,General Academic,High school,Geometry,2016,51,56.6,43,84.3,8,15.7,0,0.0,0,0.0
02M3742015Global History and Geography,02M374,Gramercy Arts High School,General Academic,High school,Global History and Geography,2015,189,65.1,89,47.1,100,52.9,37,19.6,na,na
02M3742016Global History and Geography,02M374,Gramercy Arts High School,General Academic,High school,Global History and Geography,2016,196,62.9,96,49.0,100,51.0,35,17.9,na,na
02M3742017Global History and Geography,02M374,Gramercy Arts High School,General Academic,High school,Global History and Geography,2017,181,64.1,96,53.0,85,47.0,34,18.8,na,na
02M3742015Integrated Algebra,02M374,Gramercy Arts High School,General Academic,High school,Integrated Algebra,2015,121,64.2,62,51.2,59,48.8,10,8.3,10,8.3
02M3742016Integrated Algebra,02M374,Gramercy Arts High School,General Academic,High school,Integrated Algebra,2016,29,62.2,17,58.6,12,41.4,3,10.3,3,10.3
02M3742015Living Environment,02M374,Gramercy Arts High School,General Academic,High school,Living Environment,2015,166,69.1,54,32.5,112,67.5,33,19.9,na,na
02M3742016Living Environment,02M374,Gramercy Arts High School,General Academic,High school,Living Environment,2016,159,68.7,47,29.6,112,70.4,22,13.8,na,na
02M3742017Living Environment,02M374,Gramercy Arts High School,General Academic,High school,Living Environment,2017,165,69.8,43,26.1,122,73.9,32,19.4,na,na
02M3742015Physical Settings/Chemistry,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Chemistry,2015,43,68.4,13,30.2,30,69.8,3,7.0,na,na
02M3742016Physical Settings/Chemistry,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Chemistry,2016,53,60.6,33,62.3,20,37.7,1,1.9,na,na
02M3742017Physical Settings/Chemistry,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Chemistry,2017,51,55.1,42,82.4,9,17.6,0,0.0,na,na
02M3742015Physical Settings/Earth Science,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Earth Science,2015,59,59.1,37,62.7,22,37.3,1,1.7,na,na
02M3742016Physical Settings/Earth Science,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Earth Science,2016,1,s,s,s,s,s,s,s,na,na
02M3742016Physical Settings/Physics,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Physics,2016,8,54.4,6,75.0,2,25.0,0,0.0,na,na
02M3742017Physical Settings/Physics,02M374,Gramercy Arts High School,General Academic,High school,Physical Settings/Physics,2017,1,s,s,s,s,s,s,s,na,na
02M3742015U.S. History and Government,02M374,Gramercy Arts High School,General Academic,High school,U.S. History and Government,2015,114,70.2,39,34.2,75,65.8,34,29.8,na,na
02M3742016U.S. History and Government,02M374,Gramercy Arts High School,General Academic,High school,U.S. History and Government,2016,139,74.8,27,19.4,112,80.6,64,46.0,na,na
02M3742017U.S. History and Government,02M374,Gramercy Arts High School,General Academic,High school,U.S. History and Government,2017,126,72.9,35,27.8,91,72.2,48,38.1,na,na
02M3762015Algebra2/Trigonometry,02M376,NYC iSchool,General Academic,High school,Algebra2/Trigonometry,2015,6,76.5,0,0.0,6,100.0,2,33.3,2,33.3
02M3762016Algebra2/Trigonometry,02M376,NYC iSchool,General Academic,High school,Algebra2/Trigonometry,2016,1,s,s,s,s,s,s,s,na,na
02M3762015Common Core Algebra,02M376,NYC iSchool,General Academic,High school,Common Core Algebra,2015,93,70.4,3,3.2,90,96.8,4,4.3,61,65.6
02M3762016Common Core Algebra,02M376,NYC iSchool,General Academic,High school,Common Core Algebra,2016,96,79.2,4,4.2,92,95.8,62,64.6,88,91.7
02M3762017Common Core Algebra,02M376,NYC iSchool,General Academic,High school,Common Core Algebra,2017,76,82.4,2,2.6,74,97.4,53,69.7,71,93.4
02M3762015Common Core English,02M376,NYC iSchool,General Academic,High school,Common Core English,2015,110,86.5,1,0.9,109,99.1,93,84.5,99,90.0
02M3762016Common Core English,02M376,NYC iSchool,General Academic,High school,Common Core English,2016,113,86.2,0,0.0,113,100.0,94,83.2,105,92.9
02M3762017Common Core English,02M376,NYC iSchool,General Academic,High school,Common Core English,2017,122,87.3,0,0.0,122,100.0,108,88.5,117,95.9
02M3762016Common Core Geometry,02M376,NYC iSchool,General Academic,High school,Common Core Geometry,2016,3,s,s,s,s,s,s,s,na,na
02M3762017Common Core Geometry,02M376,NYC iSchool,General Academic,High school,Common Core Geometry,2017,4,s,s,s,s,s,s,s,na,na
02M3762015English,02M376,NYC iSchool,General Academic,High school,English,2015,26,84.1,0,0.0,26,100.0,19,73.1,22,84.6
02M3762015Global History and Geography,02M376,NYC iSchool,General Academic,High school,Global History and Geography,2015,118,78.8,8,6.8,110,93.2,58,49.2,na,na
02M3762016Global History and Geography,02M376,NYC iSchool,General Academic,High school,Global History and Geography,2016,115,82.7,6,5.2,109,94.8,78,67.8,na,na
02M3762017Global History and Geography,02M376,NYC iSchool,General Academic,High school,Global History and Geography,2017,124,85.1,2,1.6,122,98.4,96,77.4,na,na
02M3762015Living Environment,02M376,NYC iSchool,General Academic,High school,Living Environment,2015,88,76.5,11,12.5,77,87.5,32,36.4,na,na
02M3762016Living Environment,02M376,NYC iSchool,General Academic,High school,Living Environment,2016,94,81.5,0,0.0,94,100.0,62,66.0,na,na
02M3762017Living Environment,02M376,NYC iSchool,General Academic,High school,Living Environment,2017,73,80.0,3,4.1,70,95.9,43,58.9,na,na
02M3762015Physical Settings/Chemistry,02M376,NYC iSchool,General Academic,High school,Physical Settings/Chemistry,2015,1,s,s,s,s,s,s,s,na,na
02M3762017Physical Settings/Chemistry,02M376,NYC iSchool,General Academic,High school,Physical Settings/Chemistry,2017,1,s,s,s,s,s,s,s,na,na
02M3762015Physical Settings/Earth Science,02M376,NYC iSchool,General Academic,High school,Physical Settings/Earth Science,2015,14,71.6,3,21.4,11,78.6,2,14.3,na,na
02M3762016Physical Settings/Earth Science,02M376,NYC iSchool,General Academic,High school,Physical Settings/Earth Science,2016,22,66.1,9,40.9,13,59.1,2,9.1,na,na
02M3762017Physical Settings/Earth Science,02M376,NYC iSchool,General Academic,High school,Physical Settings/Earth Science,2017,7,75.7,1,14.3,6,85.7,3,42.9,na,na
02M3762015U.S. History and Government,02M376,NYC iSchool,General Academic,High school,U.S. History and Government,2015,113,85.2,5,4.4,108,95.6,90,79.6,na,na
02M3762016U.S. History and Government,02M376,NYC iSchool,General Academic,High school,U.S. History and Government,2016,120,84.7,3,2.5,117,97.5,94,78.3,na,na
02M3762017U.S. History and Government,02M376,NYC iSchool,General Academic,High school,U.S. History and Government,2017,105,87.2,2,1.9,103,98.1,81,77.1,na,na
02M3922015Algebra2/Trigonometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Algebra2/Trigonometry,2015,26,46.1,23,88.5,3,11.5,0,0.0,0,0.0
02M3922016Algebra2/Trigonometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Algebra2/Trigonometry,2016,28,52.4,18,64.3,10,35.7,1,3.6,1,3.6
02M3922015Common Core Algebra,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Algebra,2015,136,59.7,89,65.4,47,34.6,0,0.0,14,10.3
02M3922016Common Core Algebra,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Algebra,2016,170,66.0,58,34.1,112,65.9,8,4.7,73,42.9
02M3922017Common Core Algebra,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Algebra,2017,141,64.2,70,49.6,71,50.4,10,7.1,50,35.5
02M3922016Common Core Algebra2,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Algebra2,2016,21,54.2,17,81.0,4,19.0,0,0.0,4,19.0
02M3922017Common Core Algebra2,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Algebra2,2017,12,64.1,6,50.0,6,50.0,0,0.0,6,50.0
02M3922015Common Core English,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core English,2015,34,70.3,12,35.3,22,64.7,10,29.4,17,50.0
02M3922016Common Core English,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core English,2016,100,77.3,11,11.0,89,89.0,52,52.0,65,65.0
02M3922017Common Core English,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core English,2017,98,76.9,8,8.2,90,91.8,50,51.0,63,64.3
02M3922015Common Core Geometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Geometry,2015,21,59.0,13,61.9,8,38.1,0,0.0,3,14.3
02M3922016Common Core Geometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Geometry,2016,10,57.0,7,70.0,3,30.0,0,0.0,1,10.0
02M3922017Common Core Geometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Common Core Geometry,2017,40,61.3,25,62.5,15,37.5,1,2.5,10,25.0
02M3922015English,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,English,2015,101,74.4,14,13.9,87,86.1,37,36.6,59,58.4
02M3922016English,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,English,2016,10,61.4,6,60.0,4,40.0,1,10.0,1,10.0
02M3922015Geometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Geometry,2015,33,59.1,22,66.7,11,33.3,3,9.1,3,9.1
02M3922016Geometry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Geometry,2016,1,s,s,s,s,s,s,s,na,na
02M3922015Global History and Geography,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Global History and Geography,2015,137,69.4,42,30.7,95,69.3,37,27.0,na,na
02M3922016Global History and Geography,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Global History and Geography,2016,135,65.9,51,37.8,84,62.2,18,13.3,na,na
02M3922017Global History and Geography,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Global History and Geography,2017,123,66.5,41,33.3,82,66.7,15,12.2,na,na
02M3922015Integrated Algebra,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Integrated Algebra,2015,42,64.0,15,35.7,27,64.3,1,2.4,1,2.4
02M3922016Integrated Algebra,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Integrated Algebra,2016,24,66.9,8,33.3,16,66.7,2,8.3,2,8.3
02M3922015Living Environment,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Living Environment,2015,111,75.1,16,14.4,95,85.6,47,42.3,na,na
02M3922016Living Environment,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Living Environment,2016,17,65.1,6,35.3,11,64.7,0,0.0,na,na
02M3922017Living Environment,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Living Environment,2017,179,70.3,42,23.5,137,76.5,29,16.2,na,na
02M3922015Physical Settings/Chemistry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Physical Settings/Chemistry,2015,35,70.2,13,37.1,22,62.9,9,25.7,na,na
02M3922017Physical Settings/Chemistry,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Physical Settings/Chemistry,2017,1,s,s,s,s,s,s,s,na,na
02M3922015Physical Settings/Earth Science,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Physical Settings/Earth Science,2015,107,55.7,76,71.0,31,29.0,2,1.9,na,na
02M3922016Physical Settings/Earth Science,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Physical Settings/Earth Science,2016,99,57.5,66,66.7,33,33.3,6,6.1,na,na
02M3922017Physical Settings/Earth Science,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,Physical Settings/Earth Science,2017,114,54.7,75,65.8,39,34.2,6,5.3,na,na
02M3922015U.S. History and Government,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,U.S. History and Government,2015,94,83.2,9,9.6,85,90.4,69,73.4,na,na
02M3922016U.S. History and Government,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,U.S. History and Government,2016,105,78.4,16,15.2,89,84.8,56,53.3,na,na
02M3922017U.S. History and Government,02M392,MANHATTAN BUSINESS ACADEMY,General Academic,High school,U.S. History and Government,2017,99,75.7,20,20.2,79,79.8,48,48.5,na,na
02M3932015Algebra2/Trigonometry,02M393,Business Of Sports School,Career Technical,High school,Algebra2/Trigonometry,2015,4,s,s,s,s,s,s,s,na,na
02M3932016Algebra2/Trigonometry,02M393,Business Of Sports School,Career Technical,High school,Algebra2/Trigonometry,2016,12,37.3,12,100.0,0,0.0,0,0.0,0,0.0
02M3932017Algebra2/Trigonometry,02M393,Business Of Sports School,Career Technical,High school,Algebra2/Trigonometry,2017,9,43.6,9,100.0,0,0.0,0,0.0,0,0.0
02M3932015Common Core Algebra,02M393,Business Of Sports School,Career Technical,High school,Common Core Algebra,2015,149,55.9,114,76.5,35,23.5,0,0.0,8,5.4
02M3932016Common Core Algebra,02M393,Business Of Sports School,Career Technical,High school,Common Core Algebra,2016,305,60.6,183,60.0,122,40.0,2,0.7,59,19.3
02M3932017Common Core Algebra,02M393,Business Of Sports School,Career Technical,High school,Common Core Algebra,2017,268,61.7,154,57.5,114,42.5,9,3.4,71,26.5
02M3932016Common Core Algebra2,02M393,Business Of Sports School,Career Technical,High school,Common Core Algebra2,2016,15,49.5,15,100.0,0,0.0,0,0.0,0,0.0
02M3932017Common Core Algebra2,02M393,Business Of Sports School,Career Technical,High school,Common Core Algebra2,2017,7,53.3,6,85.7,1,14.3,0,0.0,1,14.3
02M3932016Common Core English,02M393,Business Of Sports School,Career Technical,High school,Common Core English,2016,93,76.7,8,8.6,85,91.4,45,48.4,51,54.8
02M3932017Common Core English,02M393,Business Of Sports School,Career Technical,High school,Common Core English,2017,111,73.4,19,17.1,92,82.9,48,43.2,66,59.5
02M3932016Common Core Geometry,02M393,Business Of Sports School,Career Technical,High school,Common Core Geometry,2016,97,43.8,96,99.0,1,1.0,0,0.0,1,1.0
02M3932017Common Core Geometry,02M393,Business Of Sports School,Career Technical,High school,Common Core Geometry,2017,142,53.6,120,84.5,22,15.5,0,0.0,6,4.2
02M3932015English,02M393,Business Of Sports School,Career Technical,High school,English,2015,123,70.0,26,21.1,97,78.9,22,17.9,51,41.5
02M3932016English,02M393,Business Of Sports School,Career Technical,High school,English,2016,33,67.4,12,36.4,21,63.6,6,18.2,11,33.3
02M3932015Geometry,02M393,Business Of Sports School,Career Technical,High school,Geometry,2015,82,55.7,61,74.4,21,25.6,3,3.7,3,3.7
02M3932016Geometry,02M393,Business Of Sports School,Career Technical,High school,Geometry,2016,1,s,s,s,s,s,s,s,na,na
02M3932015Global History and Geography,02M393,Business Of Sports School,Career Technical,High school,Global History and Geography,2015,178,59.6,102,57.3,76,42.7,10,5.6,na,na
02M3932016Global History and Geography,02M393,Business Of Sports School,Career Technical,High school,Global History and Geography,2016,145,59.6,84,57.9,61,42.1,12,8.3,na,na
02M3932017Global History and Geography,02M393,Business Of Sports School,Career Technical,High school,Global History and Geography,2017,129,58.7,77,59.7,52,40.3,7,5.4,na,na
02M3932015Integrated Algebra,02M393,Business Of Sports School,Career Technical,High school,Integrated Algebra,2015,225,65.8,98,43.6,127,56.4,16,7.1,16,7.1
02M3932016Integrated Algebra,02M393,Business Of Sports School,Career Technical,High school,Integrated Algebra,2016,40,63.8,20,50.0,20,50.0,0,0.0,0,0.0
02M3932015Living Environment,02M393,Business Of Sports School,Career Technical,High school,Living Environment,2015,152,65.1,65,42.8,87,57.2,18,11.8,na,na
02M3932016Living Environment,02M393,Business Of Sports School,Career Technical,High school,Living Environment,2016,134,65.5,48,35.8,86,64.2,15,11.2,na,na
02M3932017Living Environment,02M393,Business Of Sports School,Career Technical,High school,Living Environment,2017,143,62.8,73,51.0,70,49.0,9,6.3,na,na
02M3932015Physical Settings/Earth Science,02M393,Business Of Sports School,Career Technical,High school,Physical Settings/Earth Science,2015,84,61.5,55,65.5,29,34.5,8,9.5,na,na
02M3932016Physical Settings/Earth Science,02M393,Business Of Sports School,Career Technical,High school,Physical Settings/Earth Science,2016,128,58.7,86,67.2,42,32.8,5,3.9,na,na
02M3932017Physical Settings/Earth Science,02M393,Business Of Sports School,Career Technical,High school,Physical Settings/Earth Science,2017,129,52.1,106,82.2,23,17.8,1,0.8,na,na
02M3932015U.S. History and Government,02M393,Business Of Sports School,Career Technical,High school,U.S. History and Government,2015,86,67.5,34,39.5,52,60.5,20,23.3,na,na
02M3932016U.S. History and Government,02M393,Business Of Sports School,Career Technical,High school,U.S. History and Government,2016,100,68.4,34,34.0,66,66.0,23,23.0,na,na
02M3932017U.S. History and Government,02M393,Business Of Sports School,Career Technical,High school,U.S. History and Government,2017,102,65.0,42,41.2,60,58.8,15,14.7,na,na
02M3942015Algebra2/Trigonometry,02M394,Emma Lazarus High School,Transfer School,High school,Algebra2/Trigonometry,2015,39,75.7,12,30.8,27,69.2,21,53.8,21,53.8
02M3942016Algebra2/Trigonometry,02M394,Emma Lazarus High School,Transfer School,High school,Algebra2/Trigonometry,2016,37,74.4,13,35.1,24,64.9,17,45.9,17,45.9
02M3942017Algebra2/Trigonometry,02M394,Emma Lazarus High School,Transfer School,High school,Algebra2/Trigonometry,2017,19,73.4,6,31.6,13,68.4,9,47.4,9,47.4
02M3942015Common Core Algebra,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Algebra,2015,32,74.8,5,15.6,27,84.4,10,31.3,23,71.9
02M3942016Common Core Algebra,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Algebra,2016,69,77.7,5,7.2,64,92.8,29,42.0,56,81.2
02M3942017Common Core Algebra,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Algebra,2017,83,80.3,3,3.6,80,96.4,45,54.2,71,85.5
02M3942016Common Core Algebra2,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Algebra2,2016,26,67.4,10,38.5,16,61.5,5,19.2,16,61.5
02M3942017Common Core Algebra2,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Algebra2,2017,43,72.6,11,25.6,32,74.4,18,41.9,32,74.4
02M3942015Common Core English,02M394,Emma Lazarus High School,Transfer School,High school,Common Core English,2015,4,s,s,s,s,s,s,s,na,na
02M3942016Common Core English,02M394,Emma Lazarus High School,Transfer School,High school,Common Core English,2016,75,73.6,13,17.3,62,82.7,34,45.3,43,57.3
02M3942017Common Core English,02M394,Emma Lazarus High School,Transfer School,High school,Common Core English,2017,61,75.3,4,6.6,57,93.4,23,37.7,32,52.5
